"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"82",16061,"Eichsfeld",2013,"16061y2013",261,166,13,73,90,4,9,497,59,540,12,43,2
"83",16062,"Nordhausen",2013,"16062y2013",323,199,30,111,144,3,23,615,104,833,11,47,2
"84",16063,"Wartburgkreis",2013,"16063y2013",335,183,28,104,123,0,11,610,114,596,8,41,2
"85",16064,"Unstrut-Hainich-Kreis",2013,"16064y2013",427,237,22,142,207,2,51,707,58,1040,15,47,2
"86",16065,"Kyffhäuserkreis",2013,"16065y2013",324,214,20,97,127,4,17,510,78,651,17,69,2
"87",16066,"Schmalkalden-Meiningen",2013,"16066y2013",509,215,35,117,162,1,34,911,151,881,5,13,2
"88",16067,"Gotha",2013,"16067y2013",558,290,35,160,213,2,43,948,174,1017,43,65,2
"89",16068,"Sömmerda",2013,"16068y2013",301,142,12,83,103,0,13,483,58,599,7,18,2
"90",16069,"Hildburghausen",2013,"16069y2013",249,92,10,44,61,2,11,447,46,375,1,6,2
"91",16070,"Ilm-Kreis",2013,"16070y2013",539,319,44,186,249,0,56,751,66,1143,31,55,2
"92",16071,"Weimarer Land",2013,"16071y2013",345,230,30,103,140,1,31,470,35,597,40,73,2
"93",16072,"Sonneberg",2013,"16072y2013",267,99,10,86,106,0,17,467,71,524,8,24,2
"94",16073,"Saalfeld-Rudolstadt",2013,"16073y2013",725,161,18,184,213,2,18,1126,243,1049,21,46,2
"95",16074,"Saale-Holzland-Kreis",2013,"16074y2013",351,248,36,78,98,2,13,548,78,700,29,44,2
"96",16075,"Saale-Orla-Kreis",2013,"16075y2013",507,164,23,96,114,0,13,691,92,674,18,85,2
"97",16076,"Greiz",2013,"16076y2013",377,177,29,104,128,2,17,717,36,641,5,16,2
"98",16077,"Altenburger Land",2013,"16077y2013",458,229,30,119,164,2,38,824,140,984,17,62,2
"99",2,"Hamburg",2013,"2y2013",14703,15837,1983,5406,8665,56,3046,20913,3393,65708,2998,6924,1
"100",3101,"Braunschweig",2013,"3101y2013",1772,816,212,750,997,10,202,2664,892,5858,197,441,1
"101",3102,"Salzgitter",2013,"3102y2013",466,297,34,171,227,3,41,815,72,1215,56,123,1
"102",3103,"Wolfsburg",2013,"3103y2013",577,700,179,162,255,7,73,1090,77,2346,103,233,1
"103",3151,"Gifhorn",2013,"3151y2013",686,374,51,219,285,4,42,987,116,1629,67,211,1
"104",3152,"Göttingen",2013,"3152y2013",1349,710,109,454,592,8,109,1954,346,4528,133,319,1
"105",3153,"Goslar",2013,"3153y2013",739,337,41,242,340,5,70,1112,155,1480,65,170,1
"106",3154,"Helmstedt",2013,"3154y2013",385,319,57,152,187,2,22,650,123,1024,48,125,1
"107",3155,"Northeim",2013,"3155y2013",540,304,34,184,238,3,39,708,79,1107,53,135,1
"108",3156,"Osterode am Harz",2013,"3156y2013",291,121,11,84,113,1,19,427,28,605,23,72,1
"109",3157,"Peine",2013,"3157y2013",397,365,40,152,187,5,18,654,87,1305,136,269,1
"110",3158,"Wolfenbüttel",2013,"3158y2013",366,211,66,116,158,6,24,783,96,1148,54,130,1
"111",3241,"Region Hannover",2013,"3241y2013",7429,4867,642,2719,3701,31,801,10384,1812,21975,1697,3606,1
"112",3251,"Diepholz",2013,"3251y2013",775,535,52,231,354,8,90,1014,113,2517,156,382,1
"113",3252,"Hameln-Pyrmont",2013,"3252y2013",714,415,30,293,371,8,53,852,61,1506,90,203,1
"114",3254,"Hildesheim",2013,"3254y2013",1393,608,63,434,579,7,104,2366,672,3492,215,524,1
"115",3255,"Holzminden",2013,"3255y2013",291,80,14,111,136,3,17,424,38,538,20,92,1
"116",3256,"Nienburg (Weser)",2013,"3256y2013",388,259,39,143,230,9,65,485,27,1105,113,243,1
"117",3257,"Schaumburg",2013,"3257y2013",534,523,50,189,272,3,65,1145,94,2066,101,232,1
"118",3351,"Celle",2013,"3351y2013",919,482,52,312,423,13,69,1208,144,2451,107,311,1
"119",3352,"Cuxhaven",2013,"3352y2013",744,441,60,330,449,5,92,1006,60,2269,140,462,1
"120",3353,"Harburg",2013,"3353y2013",879,1045,173,238,355,9,84,1612,314,3409,419,1029,1
"121",3354,"Lüchow-Dannenberg",2013,"3354y2013",170,107,13,63,85,3,12,357,106,456,12,31,1
"122",3355,"Lüneburg",2013,"3355y2013",1018,638,112,331,440,3,92,1548,299,3423,132,315,1
"123",3356,"Osterholz",2013,"3356y2013",392,303,18,153,218,5,50,584,48,1141,120,378,1
"124",3357,"Rotenburg (Wümme)",2013,"3357y2013",848,532,60,347,472,12,82,983,84,2164,166,439,1
