"","district","DistrictName","MurderRate","lon","lat"
"325",12052,"Cottbus",1.00406646920026,14.3328679,51.7563108
"326",12053,"Frankfurt (Oder)",3.44720603950498,14.5505673,52.3472237
"327",12054,"Potsdam",3.09658879778037,13.0644729,52.3905689
"328",12060,"Barnim",3.45315791291136,13.6998296,52.8574453
"329",12061,"Dahme-Spreewald",2.4876704831678,13.832727,52.0163129
"330",12062,"Elbe-Elster",3.76800399408423,13.3627716,51.6840663
"331",12063,"Havelland",1.29976474258159,12.5204131,52.5979018
"332",12064,"Märkisch-Oderland",2.66427947225952,NA,NA
"333",12065,"Oberhavel",0.492581719307233,13.22567,52.9120644
"334",12066,"Oberspreewald-Lausitz",1.75682085697721,13.9716791,51.569088
"335",12067,"Oder-Spree",1.69635284139101,14.1541989,52.2805259
"336",12068,"Ostprignitz-Ruppin",3.03201811125485,12.7526724,52.9645366
"337",12069,"Potsdam-Mittelmark",1.45971195017517,12.9084119,52.2523981
"338",12070,"Prignitz",2.56433269652405,12.0455484,53.0392549
"339",12071,"Spree-Neiße",2.52314990033558,NA,NA
"340",12072,"Teltow-Fläming",5.60929397686478,13.2752586,52.3975008
"341",12073,"Uckermark",4.94535384006726,13.8685909,53.1879937
"342",13003,"Rostock",4.42410448751665,12.0991466,54.0924406
"343",13004,"Schwerin",5.45952851511743,11.4012499,53.6355022
"344",14511,"Chemnitz",2.0659278908529,12.9213697,50.827845
"345",14521,"Erzgebirgskreis",0.8539490875554,12.8252454,50.5547583
"346",14522,"Mittelsachsen",1.27149219144858,13.0880514,50.9900976
"347",14523,"Vogtlandkreis",2.56443133735094,12.2774996,50.4884351
"348",14524,"Zwickau",1.52876213072751,12.4733725,50.7102169
"349",14612,"Dresden",2.07252324052197,13.7372621,51.0504088
"350",14625,"Bautzen",0.972920382682017,14.4237749,51.182293
"351",14626,"Görlitz",2.67004363614171,NA,NA
"352",14627,"Meißen",1.64125457499713,NA,NA
"353",14628,"Sächsische Schweiz-Osterzgebirge",1.21981466949122,NA,NA
"354",14713,"Leipzig",3.00999695237809,12.3730747,51.3396955
"355",14729,"Leipzig",2.71743350052019,12.3730747,51.3396955
"356",14730,"Nordsachsen",1.01344846107851,12.7541738,51.5385972
"357",15001,"Dessau-Roßlau",5.97971680061232,NA,NA
"358",15002,"Halle (Saale)",5.18213028739231,11.9688029,51.4969802
"359",15003,"Magdeburg",4.76147190082287,11.6276237,52.1205333
"360",15081,"Altmarkkreis Salzwedel",0,11.202885,52.7747049
"361",15082,"Anhalt-Bitterfeld",5.39477785503632,12.0355724,51.7866203
