"","district","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal"
"352",9777,103324,71.4,41814,10245,5286,3224,2157,10598
"353",9778,105895,69.3,42017,9474,4368,3369,2030,11501
"354",9779,99965,70.1,38455,12350,4319,2812,2393,9005
"355",9780,117189,72.5,46998,11865,7248,4599,2446,11186
"357",10041,253130,70,58869,54144,12390,7584,19844,20287
"359",10042,81462,73.4,24489,17232,2833,2172,4778,6463
"360",10043,110145,71.2,26911,25828,3355,2408,8299,9500
"361",10044,158618,73,44268,34555,5950,4109,10472,13251
"362",10045,118129,74.7,33271,25789,4933,3535,7971,10644
"363",10046,74588,77.9,24560,17044,2537,1698,4681,5906
"366",12051,60766,60.7,12232,9890,1492,741,8451,3488
"367",12052,83462,65.7,17723,12528,2300,1299,13104,7139
"368",12053,47973,64.9,9669,6949,1257,593,8294,3733
"369",12054,128279,73.6,25142,23610,9586,2524,22430,9889
"370",12060,148254,68.4,32441,21181,4682,2261,26514,12763
"371",12061,134465,72.4,32935,21548,4251,2652,20455,13753
"372",12062,92466,68,25109,12210,1685,1599,12666,8397
"373",12063,127579,69.5,30471,21232,4756,2682,16866,11226
"374",12064,158789,67.9,34175,23571,4141,2359,27132,13660
"375",12065,168699,70.1,42074,27480,5941,3172,22527,15184
"376",12066,99396,65.8,24349,13222,1634,1553,14853,8588
"377",12067,151368,68.8,34632,22682,4009,2329,24568,14115
"378",12068,85241,62.7,19037,13255,2054,1128,11708,5395
"379",12069,168912,73.4,43933,30303,8012,4156,22508,13239
"380",12070,67889,65.4,16267,10982,1259,959,9985,4272
"381",12071,103695,68.5,26507,14335,2082,1685,14861,10150
"382",12072,133937,67.3,30804,21150,4071,2408,19468,10679
"383",12073,104774,63.5,25101,15046,1970,1265,14922,7058
"385",13001,NA,NA,NA,NA,NA,NA,NA,NA
"386",13002,NA,NA,NA,NA,NA,NA,NA,NA
"387",13003,169982,67.2,39839,22326,8180,2144,27979,12349
"388",13004,77730,68.1,19163,11486,3013,1100,11613,5876
"389",13005,NA,NA,NA,NA,NA,NA,NA,NA
"390",13006,NA,NA,NA,NA,NA,NA,NA,NA
"391",13051,NA,NA,NA,NA,NA,NA,NA,NA
"392",13052,NA,NA,NA,NA,NA,NA,NA,NA
"393",13053,NA,NA,NA,NA,NA,NA,NA,NA
"394",13054,NA,NA,NA,NA,NA,NA,NA,NA
"395",13055,NA,NA,NA,NA,NA,NA,NA,NA
"396",13056,NA,NA,NA,NA,NA,NA,NA,NA
"397",13057,NA,NA,NA,NA,NA,NA,NA,NA
"398",13058,NA,NA,NA,NA,NA,NA,NA,NA
"399",13059,NA,NA,NA,NA,NA,NA,NA,NA
"400",13060,NA,NA,NA,NA,NA,NA,NA,NA
"401",13061,NA,NA,NA,NA,NA,NA,NA,NA
"402",13062,NA,NA,NA,NA,NA,NA,NA,NA
"403",13071,225170,64.3,62520,24050,4795,2852,32299,15885
"404",13072,177980,66.3,52115,20665,4606,2505,23826,11856
"405",13073,191265,63.4,55644,16799,4423,2991,25061,14438
"406",13074,129527,65,33733,17630,3852,1912,17056,8909
"407",13075,200404,63.5,55719,17715,4961,2895,25072,18710
"408",13076,178647,66.6,50315,23760,3886,2569,23965,12686
"411",14161,NA,NA,NA,NA,NA,NA,NA,NA
"412",14166,NA,NA,NA,NA,NA,NA,NA,NA
"413",14167,NA,NA,NA,NA,NA,NA,NA,NA
"414",14171,NA,NA,NA,NA,NA,NA,NA,NA
"415",14173,NA,NA,NA,NA,NA,NA,NA,NA
"416",14177,NA,NA,NA,NA,NA,NA,NA,NA
"417",14178,NA,NA,NA,NA,NA,NA,NA,NA
"418",14181,NA,NA,NA,NA,NA,NA,NA,NA
"419",14182,NA,NA,NA,NA,NA,NA,NA,NA
"420",14188,NA,NA,NA,NA,NA,NA,NA,NA
"421",14191,NA,NA,NA,NA,NA,NA,NA,NA
"422",14193,NA,NA,NA,NA,NA,NA,NA,NA
"424",14262,NA,NA,NA,NA,NA,NA,NA,NA
"425",14263,NA,NA,NA,NA,NA,NA,NA,NA
"426",14264,NA,NA,NA,NA,NA,NA,NA,NA
"427",14272,NA,NA,NA,NA,NA,NA,NA,NA
"428",14280,NA,NA,NA,NA,NA,NA,NA,NA
"429",14284,NA,NA,NA,NA,NA,NA,NA,NA
"430",14285,NA,NA,NA,NA,NA,NA,NA,NA
"431",14286,NA,NA,NA,NA,NA,NA,NA,NA
"432",14287,NA,NA,NA,NA,NA,NA,NA,NA
"433",14290,NA,NA,NA,NA,NA,NA,NA,NA
"434",14292,NA,NA,NA,NA,NA,NA,NA,NA
"436",14365,NA,NA,NA,NA,NA,NA,NA,NA
"437",14374,NA,NA,NA,NA,NA,NA,NA,NA
"438",14375,NA,NA,NA,NA,NA,NA,NA,NA
"439",14379,NA,NA,NA,NA,NA,NA,NA,NA
"440",14383,NA,NA,NA,NA,NA,NA,NA,NA
"441",14389,NA,NA,NA,NA,NA,NA,NA,NA
"443",14511,201249,67.5,52380,23558,7168,3865,31014,16543
"444",14521,302267,69.8,95144,26876,5365,7049,40309,32538
"445",14522,268349,69.5,83510,24878,6018,6109,37432,25705
"446",14523,201934,68.7,60466,21885,4569,3836,27617,18322
"447",14524,281789,68.3,84226,28294,6219,5121,40020,25800
"449",14612,430136,74.1,121592,46821,28747,9781,58979,48808
"450",14625,262663,69.8,82027,22064,5323,5590,34875,29735
"451",14626,223614,68.4,66106,18839,5044,4185,29380,26407
"452",14627,207261,70.3,64622,18024,5721,5253,26735,22834
"453",14628,207752,71,66673,15865,5158,4655,24848,27776
"455",14713,430321,67.9,100034,54064,26541,8611,63424,36307
