"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal","ForeignersTotal","MarriagePercentage","MalePercentage","YouthPercentage","ForeignerPercentage","FlowPercentage","MurderRate","CrimeViolent","ViolentCrimeRate","CrimeNonViolent","NonViolentCrimeRate","CrimeTotal","CrimeRate"
"36",3351,"Celle",2013,"3351y2013",919,482,52,312,423,13,69,1208,144,2451,107,311,1,898,23,5.7,6621,743,8.3,1545.18,175552,85778,89774,114,17.3,7.4,22.3,30.6,22.5,10486,9918,99230,176690,14158,63302,139513,72.5,45684,29130,7050,4430,4338,9702,28.4,50,8204,0.511529347429821,48.8618756835581,0.00421527524608093,4.67325920524973,11.6227670433832,7.40521327014218,325,185.130331753555,4824,2747.90375501276,6491,3697.47994896099
"37",3352,"Cuxhaven",2013,"3352y2013",744,441,60,330,449,5,92,1006,60,2269,140,462,1,1211,21.6,7.2,6133,662,6.9,2057.77,196607,96090,100517,96,16.7,6.8,21.2,31.6,23.8,11674,11353,121551,198777,13282,63945,158469,73.3,49992,38767,8252,4058,5521,8520,18.7,37,8352,0.615949584704512,48.8741499539691,0.00345867644590477,4.24806848179363,11.7121974293896,2.54314444551822,335,170.390677849721,4530,2304.0888676395,6058,3081.27381018987
"38",3353,"Harburg",2013,"3353y2013",879,1045,173,238,355,9,84,1612,314,3409,419,1029,1,1148,32.8,2.9,6233,627,5.4,1244.97,242871,118324,124547,195,17.7,6.7,22.3,31.8,21.5,18131,15626,106788,238443,15302,116352,194856,78.4,64905,42915,14078,7382,6641,15679,16.7,40,11945,0.472678911850324,48.7188672175764,0.00275866612316827,4.91824878227536,13.8991481074315,3.70567091171857,247,101.700079466054,8085,3328.92770236051,9566,3938.71643794442
"39",3354,"Lüchow-Dannenberg",2013,"3354y2013",170,107,13,63,85,3,12,357,106,456,12,31,1,212,25.2,5.3,2353,229,12,1220.65,48670,23949,24721,40,15.4,6.5,19.7,31.9,26.4,3728,3624,29878,49205,2579,16748,39827,72.3,10435,7778,4436,1032,2537,2274,38.7,19,1818,0.435586603657284,49.2069036367372,0.0133552496404356,3.73536059174029,15.1058146702281,6.16396137250873,66,135.607150195192,1094,2247.79124717485,1415,2907.33511403329
"40",3355,"Lüneburg",2013,"3355y2013",1018,638,112,331,440,3,92,1548,299,3423,132,315,1,1055,35.1,4,5990,549,7.2,1323.5,176727,85766,90961,134,17.8,8.2,25.2,29.9,19,14598,13285,87679,174123,12520,73924,139242,75.3,38321,30637,14456,4249,6665,9596,36.1,63,7092,0.596965941819869,48.530218925235,0.00463992485585111,4.0129691558166,15.7774420433776,1.69753348384797,334,188.992061201741,6559,3711.37404018628,8351,4725.36737453813
"41",3356,"Osterholz",2013,"3356y2013",392,303,18,153,218,5,50,584,48,1141,120,378,1,533,30.3,6,2621,319,5,650.79,110882,54355,56527,170,16.9,6.8,21.7,32.5,22.1,6263,5753,61858,110907,7139,41910,89204,74.9,25256,22453,6247,2325,4004,5401,25.3,28,4101,0.480691185223932,49.0205804368608,0.00613264551505204,3.69852636135712,10.8367453689508,4.50929817283238,158,142.493822261503,2642,2382.71315452463,3410,3075.34135387168
"42",3357,"Rotenburg (Wümme)",2013,"3357y2013",848,532,60,347,472,12,82,983,84,2164,166,439,1,685,25.9,4.7,3888,438,5,2070.3,161308,80823,80485,78,18.1,8,23.2,31,19.7,9931,9887,106286,162726,8384,48056,128090,74.1,43782,27984,7623,4004,3806,7062,27.1,44,6486,0.424653457981005,50.1047685173705,0.00495945644357378,4.02087931162745,12.2858134748432,7.43918466536068,359,222.555607905374,4510,2795.89357006472,6189,3836.75949115977
"43",3358,"Landkreis Heidekreis",2013,"3358y2013",828,483,61,268,353,8,51,1181,171,2017,134,389,1,592,25.2,7.6,4927,616,7.5,1873.67,136251,67473,68778,73,17.2,7.8,22.5,30.8,21.8,8880,7869,84337,136693,9697,42659,108738,72.8,34183,25215,6138,3031,3587,6434,30.9,42,5964,0.434492223910283,49.521104432261,0.00572472862584495,4.37721558006914,12.2927538146509,5.87151653932815,276,202.567320606821,4487,3293.18683899568,5944,4362.53678872082
"44",3359,"Stade",2013,"3359y2013",710,443,61,231,367,6,112,1189,157,2647,109,261,1,1082,26.6,5.1,6509,760,6.8,1266.02,196516,97880,98636,155,17.8,7.7,23.8,30.5,20.2,14952,13877,106173,195450,11679,77598,155168,74,49377,36184,9120,4784,4920,9636,21,41,10579,0.550591300453907,49.8076492499339,0.00391825601986607,5.38327667976144,14.6700523112622,3.05318650898655,237,120.600867104969,4979,2533.63593804067,6293,3202.28378350872
"45",3360,"Uelzen",2013,"3360y2013",312,241,34,96,145,2,35,649,88,1173,33,69,1,390,25.8,3.3,3197,355,7.8,1454.14,92356,44952,47404,64,16,7.2,21.1,31.5,24.3,6093,5783,59511,93596,6143,27941,75772,73.7,22884,17801,5021,2048,2747,4862,27.9,26,2877,0.422279007319503,48.6725280436572,0.00779592013512928,3.11511975399541,12.8589371562216,2.16553337086925,98,106.111135172593,2322,2514.18424357919,2877,3115.11975399541
"46",3361,"Verden",2013,"3361y2013",544,444,69,171,260,9,53,782,79,1712,198,546,1,640,29.4,4.8,4006,311,6.2,787.95,132459,64637,67822,168,17.8,7.3,22.6,31.4,20.8,8044,7404,72758,132300,8757,50785,104439,74.8,31987,24960,7461,2910,4004,6207,19.7,26,6481,0.48316837662975,48.7977411878393,0.00551113929593308,4.8928347639647,11.6624766909006,6.79455529635585,180,135.891105927117,3883,2931.47313508331,4867,3674.34451415155
"47",3401,"Delmenhorst",2013,"3401y2013",428,325,11,156,248,0,82,628,105,1775,83,219,1,304,26.3,6.8,4207,425,11.9,62.36,74052,36407,37645,1187,16.5,8.2,23.4,29.8,22.1,4155,3459,28952,73322,10148,34222,57824,67.4,14306,14003,2643,1347,2547,3708,13.6,10,6196,0.410522335656026,49.1641009020688,0.0110732998433533,8.36709339383136,10.2819640252795,0,156,210.662777507697,3228,4359.09901150543,4060,5482.63382487981
"48",3402,"Emden",2013,"3402y2013",380,215,7,153,195,0,32,597,48,1433,16,60,1,228,28.7,9.3,2335,276,10,112.35,49790,24477,25313,443,16.7,9.8,24.9,28.1,20.5,2956,2706,30780,49787,3946,15061,38946,67.2,6721,12570,2369,811,1564,1834,22.1,11,2748,0.45792327776662,49.1604739907612,0.0196826672022495,5.51918055834505,11.3717613978711,0,153,307.290620606547,2408,4836.31251255272,3136,6298.45350471982
"49",3403,"Oldenburg (Oldenburg)",2013,"3403y2013",807,514,47,279,439,5,134,1534,422,3762,83,292,1,839,43.3,6,7144,807,9.1,102.99,159610,75754,83856,1550,15.4,9.3,28.6,28.1,18.7,10430,9362,72242,157267,22507,62518,125662,74.2,28575,30966,13858,4034,7418,7634,71.7,113,10021,0.52565628720005,47.4619384750329,0.00582670258755717,6.27842866988284,12.4002255497776,3.13263579976192,284,177.933713426477,6788,4252.86636175678,8318,5211.45291648393
