district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
9183;MÙhldorf a.Inn, Landkreis;Bayern;13,1;14
3451;Ammerland, Landkreis;Niedersachsen;11,0;13
3462;Wittmund, Landkreis;Niedersachsen;23,0;13
7231;Bernkastel-Wittlich, Landkreis;Rheinland-Pfalz;11,6;13
7317;Pirmasens, Kreisfreie Stadt;Rheinland-Pfalz;32,0;13
8327;Tuttlingen, Landkreis;Baden-WÙrttemberg;9,8;13
9263;Straubing, Stadt;Bayern;29,1;13
9372;Cham, Landkreis;Bayern;10,4;13
9375;Regensburg, Landkreis;Bayern;7,1;13
9563;FÙrth, Landkreis;Bayern;11,5;13
10043;Neunkirchen, Landkreis;Saarland;9,6;13
15001;Dessau-Ro¤lau, Kreisfreie Stadt;Sachsen-Anhalt;15,2;13
15083;B_rde, Landkreis;Sachsen-Anhalt;7,4;13
15090;Stendal, Landkreis;Sachsen-Anhalt;11,0;13
5915;Hamm, Kreisfreie Stadt;Nordrhein-Westfalen;6,8;12
7333;Donnersbergkreis;Rheinland-Pfalz;15,8;12
9261;Landshut, Landkreis;Bayern;8,1;12
9276;Regen, Landkreis;Bayern;15,7;12
12073;Uckermark, Landkreis;Brandenburg;9,7;12
15081;Altmarkkreis Salzwedel;Sachsen-Anhalt;13,7;12
3154;Helmstedt, Landkreis;Niedersachsen;12,1;11
3402;Emden, Kreisfreie Stadt;Niedersachsen;22,1;11
7311;Frankenthal (Pfalz), Kreisfreie Stadt;Rheinland-Pfalz;23,6;11
7320;ZweibrÙcken, Kreisfreie Stadt;Rheinland-Pfalz;32,2;11
9172;Berchtesgadener Land, Landkreis;Bayern;10,9;11
9277;Rottal-Inn, Landkreis;Bayern;9,4;11
9374;Neustadt a.d.Waldnaab, Landkreis;Bayern;11,4;11
9461;Bamberg, Landkreis;Bayern;7,7;11
9663;WÙrzburg, Landkreis;Bayern;7,0;11
10042;Merzig-Wadern, Landkreis;Saarland;10,6;11
12061;Dahme-Spreewald, Landkreis;Brandenburg;6,9;11
14730;Nordsachsen, Landkreis;Sachsen;5,5;11
15087;Mansfeld-SÙdharz, Landkreis;Sachsen-Anhalt;7,5;11
15088;Saalekreis;Sachsen-Anhalt;5,8;11
16062;Nordhausen, Kreis;ThÙringen;12,7;11
16073;Saalfeld-Rudolstadt, Kreis;ThÙringen;9,8;11
3401;Delmenhorst, Kreisfreie Stadt;Niedersachsen;13,6;10
9377;Tirschenreuth, Landkreis;Bayern;13,4;10
9463;Coburg, Landkreis;Bayern;11,4;10
9771;Aichach-Friedberg, Landkreis;Bayern;7,9;10
16066;Schmalkalden-Meiningen, Kreis;ThÙringen;7,9;10
16070;Ilm-Kreis;ThÙringen;9,1;10
6632;Hersfeld-Rotenburg, Landkreis;Hessen;7,5;9
7336;Kusel, Landkreis;Rheinland-Pfalz;12,4;9
9272;Freyung-Grafenau, Landkreis;Bayern;11,5;9
12051;Brandenburg an der Havel, Kreisfreie Stadt;Brandenburg;12,6;9
13072;Landkreis Rostock;Mecklenburg-Vorpommern;4,2;9
16067;Gotha, Kreis;ThÙringen;6,6;9
5512;Bottrop, Kreisfreie Stadt;Nordrhein-Westfalen;6,8;8
9174;Dachau, Landkreis;Bayern;5,7;8
9186;Pfaffenhofen a.d.Ilm, Landkreis;Bayern;6,8;8
9478;Lichtenfels, Landkreis;Bayern;11,9;8
9565;Schwabach, Stadt;Bayern;20,7;8
12062;Elbe-Elster, Landkreis;Brandenburg;7,3;8
12064;M_rkisch-Oderland, Landkreis;Brandenburg;4,3;8
12066;Oberspreewald-Lausitz, Landkreis;Brandenburg;6,8;8
12067;Oder-Spree, Landkreis;Brandenburg;4,5;8
12072;Teltow-Fl_ming, Landkreis;Brandenburg;5,0;8
16074;Saale-Holzland-Kreis;ThÙringen;9,4;8
16077;Altenburger Land, Kreis;ThÙringen;8,3;8
5916;Herne, Kreisfreie Stadt;Nordrhein-Westfalen;4,5;7
7331;Alzey-Worms, Landkreis;Rheinland-Pfalz;5,6;7
9278;Straubing-Bogen, Landkreis;Bayern;7,3;7
9279;Dingolfing-Landau, Landkreis;Bayern;7,7;7
9674;Ha¤berge, Landkreis;Bayern;8,3;7
12069;Potsdam-Mittelmark, Landkreis;Brandenburg;3,4;7
15086;Jerichower Land, Landkreis;Sachsen-Anhalt;7,5;7
16063;Wartburgkreis;ThÙringen;5,5;7
16068;S_mmerda, Kreis;ThÙringen;9,8;7
16071;Weimarer Land, Kreis;ThÙringen;8,5;7
3102;Salzgitter, Kreisfreie Stadt;Niedersachsen;6,1;6
7233;Vulkaneifel, Landkreis;Rheinland-Pfalz;9,8;6
7335;Kaiserslautern, Landkreis;Rheinland-Pfalz;5,7;6
7340;SÙdwestpfalz, Landkreis;Rheinland-Pfalz;6,1;6
9177;Erding, Landkreis;Bayern;4,7;6
9572;Erlangen-H_chstadt, Landkreis;Bayern;4,6;6
12065;Oberhavel, Landkreis;Brandenburg;3,0;6
12068;Ostprignitz-Ruppin, Landkreis;Brandenburg;6,0;6
12070;Prignitz, Landkreis;Brandenburg;7,5;6
16052;Gera, krsfr. Stadt;ThÙringen;6,3;6
16069;Hildburghausen, Kreis;ThÙringen;9,1;6
12052;Cottbus, Kreisfreie Stadt;Brandenburg;5,0;5
12053;Frankfurt (Oder), Kreisfreie Stadt;Brandenburg;8,5;5
12063;Havelland, Landkreis;Brandenburg;3,3;5
12071;Spree-Nei¤e, Landkreis;Brandenburg;4,1;5
16075;Saale-Orla-Kreis;ThÙringen;5,9;5
16065;Kyffh_userkreis;ThÙringen;5,0;4
16076;Greiz, Kreis;ThÙringen;2,9;3
7135;Cochem-Zell, Landkreis;Rheinland-Pfalz;3,1;2
16072;Sonneberg, Kreis;ThÙringen;3,4;2
16054;Suhl, Kreisfreie Stadt;ThÙringen;2,7;1
