"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"354",2013,9777,1430,52,385,742,0,251
"355",2013,9778,1420,39,328,717,0,336
"356",2013,9779,1640,56,337,931,0,316
"357",2013,9780,1214,33,414,566,0,201
"359",2013,10041,3123,195,793,1031,55,1049
"360",2013,10041100,1925,114,423,514,44,830
"361",2013,10042,927,50,286,341,15,235
"362",2013,10043,1350,73,415,504,25,333
"363",2013,10044,2191,77,549,816,35,714
"364",2013,10045,1410,63,324,549,10,464
"365",2013,10046,1053,52,207,422,17,355
"368",2013,12051,529,39,92,199,0,199
"369",2013,12052,860,74,99,298,0,389
"370",2013,12053,487,33,49,203,0,202
"371",2013,12054,1558,65,190,446,0,857
"372",2013,12060,1229,87,148,536,0,458
"373",2013,12061,1249,89,157,535,0,468
"374",2013,12062,741,64,114,325,0,238
"375",2013,12063,1260,92,199,440,0,529
"376",2013,12064,1207,105,173,560,0,369
"377",2013,12065,1454,101,248,590,0,515
"378",2013,12066,727,65,142,308,0,212
"379",2013,12067,1379,139,205,571,0,464
"380",2013,12068,746,65,175,269,0,237
"381",2013,12069,1122,62,156,431,0,473
"382",2013,12070,518,63,62,221,0,172
"383",2013,12071,677,57,119,284,0,217
"384",2013,12072,1185,112,158,493,0,422
"385",2013,12073,1016,120,159,443,0,294
"387",2013,13001,NA,NA,NA,NA,NA,NA
"388",2013,13002,NA,NA,NA,NA,NA,NA
"389",2013,13003,1241,162,104,437,0,538
"390",2013,13004,619,88,44,218,0,269
"391",2013,13005,NA,NA,NA,NA,NA,NA
"392",2013,13006,NA,NA,NA,NA,NA,NA
"393",2013,13051,NA,NA,NA,NA,NA,NA
"394",2013,13052,NA,NA,NA,NA,NA,NA
"395",2013,13053,NA,NA,NA,NA,NA,NA
"396",2013,13054,NA,NA,NA,NA,NA,NA
"397",2013,13055,NA,NA,NA,NA,NA,NA
"398",2013,13056,NA,NA,NA,NA,NA,NA
"399",2013,13057,NA,NA,NA,NA,NA,NA
"400",2013,13058,NA,NA,NA,NA,NA,NA
"401",2013,13059,NA,NA,NA,NA,NA,NA
"402",2013,13060,NA,NA,NA,NA,NA,NA
"403",2013,13061,NA,NA,NA,NA,NA,NA
"404",2013,13062,NA,NA,NA,NA,NA,NA
"405",2013,13071,1811,196,173,835,0,607
"406",2013,13072,1363,131,165,671,0,396
"407",2013,13073,1414,138,227,699,0,350
"408",2013,13074,976,106,132,436,0,302
