"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"50",3405,"Wilhelmshaven",2013,"3405y2013",617,298,30,275,369,3,72,986,48,8982,66,193,366,33.9,5.7,4633,484,13.7,106.91,75728,36936,38792,708,13.8,9.7,21.5,29.2,25.9,4657,4896,34675,77451,8938,33838,64203,68.1,15782,15629,3113,1546,2818,4199,20.8,16
"51",3451,"Ammerland",2013,"3451y2013",323,245,21,100,140,4,25,583,129,5083,47,152,587,24.5,2.7,2813,242,5,728.36,118865,58158,60707,163,17.8,7.3,22.3,31.1,21.5,7927,7213,71210,117912,10318,36384,94747,74.2,28492,21890,6312,4176,3105,5681,11,13
"52",3452,"Aurich",2013,"3452y2013",979,423,27,390,467,3,56,1340,120,11404,59,293,1664,20.9,8.2,7713,832,8.8,1287.31,187058,91632,95426,145,17.8,7.7,22.4,30.9,21.2,12648,11449,135380,187136,10832,40923,152041,71.1,36305,45510,8659,3512,5024,7653,16.6,31
"53",3453,"Cloppenburg",2013,"3453y2013",684,450,35,193,249,0,38,805,75,8880,63,211,717,16.6,4.8,4871,602,6.3,1418.4,160176,80598,79578,113,21.3,9.1,25.2,28.6,15.8,15944,15926,32333,159337,96311,30693,117226,69.5,50810,16596,3082,3516,2400,4329,22.6,36
"54",3454,"Emsland",2013,"3454y2013",1434,777,84,509,647,7,100,1476,83,18354,130,420,1410,24,4.7,6207,790,4.1,2882.04,313689,158523,155166,109,18.8,8.6,25.1,29.6,17.9,20224,18902,53817,311089,212930,44342,235731,73.9,104477,38418,8223,7493,5153,9244,17,53
"55",3455,"Friesland",2013,"3455y2013",523,214,13,144,189,5,30,806,38,6177,49,147,793,20,3.6,3004,286,6.8,607.9,97093,47212,49881,160,16.5,7.2,20.3,31.5,24.4,5822,5516,57178,98229,8197,32854,80196,73.5,21885,21201,4515,2722,2880,4913,54,88
"56",3456,"Grafschaft Bentheim",2013,"3456y2013",469,301,26,171,225,2,45,649,60,8842,56,190,645,20.9,6.9,3192,324,5,980.86,133678,66473,67205,136,18.9,8.1,23.4,30.2,19.4,6426,6227,65499,133395,33648,34248,96649,74.2,36099,21817,4145,2961,2307,3794,15,20
"57",3457,"Leer",2013,"3457y2013",635,434,39,193,263,3,52,933,50,9933,72,242,946,18.6,7.5,5385,658,7.2,1086.02,164792,81696,83096,152,18.2,8,23.7,29.9,20.2,10766,9680,109858,163832,17542,36432,128455,71.2,34963,34913,6298,3115,4418,6714,15.2,25
"58",3458,"Oldenburg",2013,"3458y2013",432,332,36,141,177,3,26,722,89,7833,65,226,582,12.3,4.3,3247,329,5.3,1063.12,125778,62342,63436,118,17.9,7.2,22.3,32.5,20.1,12029,11339,67742,125015,14917,42355,99258,75.5,30643,22397,6806,4447,3869,6243,71.7,113
"59",3459,"Osnabrück",2013,"3459y2013",902,1218,85,291,455,7,118,1736,264,16703,195,513,1622,20.8,4.1,7776,722,4.5,2121.59,350302,172950,177352,165,18.6,8.1,23.2,30.7,19.4,22764,22094,129318,350147,145557,75272,271557,74.3,96753,59068,15475,8619,7924,12373,44,68
"60",3460,"Vechta",2013,"3460y2013",494,552,27,224,312,5,69,789,53,8696,99,236,615,28.4,4.5,3076,393,4.3,812.59,134188,67362,66826,165,20.6,9.6,26,28.6,15.3,13359,12979,24820,132293,85967,21507,99074,73,45591,13572,3406,3557,1859,3846,40.7,54
"61",3461,"Wesermarsch",2013,"3461y2013",342,143,11,132,177,3,31,613,51,4910,64,176,362,25.7,4.1,3490,418,8.5,821.9,88831,44181,44650,108,17,7.9,21.1,31.7,22.2,4959,4782,50287,90033,7033,32715,70637,69,17671,18448,3610,2241,2398,3460,23.5,21
"62",3462,"Wittmund",2013,"3462y2013",246,80,13,79,97,1,8,326,16,2916,4,36,534,27.1,4.7,1934,209,7.7,656.66,56400,27490,28910,86,17.4,7.5,21.6,31,22.4,4011,3706,40029,56839,3731,13079,45635,69.1,13129,11181,2103,1402,1116,2268,23,13
"63",4011,"Bremen",2013,"4011y2013",3979,6016,256,1529,2639,14,1018,5019,788,71212,965,2577,2148,37.5,6.1,28878,2603,11.5,325.42,548547,267621,280926,1686,14.9,8.8,27.2,28,21.1,29266,25832,212283,542707,59329,271095,400633,69.9,80535,96795,35565,9701,28444,25990,54,294
"64",4012,"Bremerhaven",2013,"4012y2013",981,597,52,334,588,7,223,1619,295,14154,358,862,471,38.8,6.2,8319,834,16.3,93.82,108844,53611,55233,1160,16.2,8.3,24.2,29,22.2,7195,6087,49194,108156,11670,47292,83190,63.8,15924,20409,4449,1503,4840,5257,20.3,22
"65",5111,"Düsseldorf",2013,"5111y2013",3894,7527,404,1463,2609,12,1023,4561,435,87610,1463,2680,2864,51.4,5,27715,1596,9.8,217.41,598686,288114,310572,2754,15.2,7.2,30.3,27.5,19.8,43090,38659,120300,586291,192790,273201,415139,73.3,117028,85006,28844,22964,21210,26665,40.5,239
"66",5112,"Duisburg",2013,"5112y2013",2835,3542,191,1160,1879,22,638,4516,417,52048,830,1670,1727,44.5,5.7,31555,2986,14.3,232.8,486855,237743,249112,2091,16.5,8.4,25.2,29,20.9,24983,22902,126913,488468,151421,210134,337326,67.4,63774,91892,13717,6935,18635,29494,11.9,58
"67",5113,"Essen",2013,"5113y2013",2595,4266,290,1136,1924,11,699,4634,861,57317,1228,2381,2229,51.1,5.8,35896,3445,13.6,210.34,569884,273982,295902,2709,15.2,8.2,25.7,29.2,21.8,26539,21074,154639,566201,217244,194318,428928,71.3,99736,112984,24877,13818,21475,29891,36.8,208
"68",5114,"Krefeld",2013,"5114y2013",1562,1533,131,460,733,2,239,2152,287,22219,416,846,973,44.1,5.6,12800,1029,12.5,137.78,222058,107084,114974,1612,16.3,7.6,23.8,30.4,21.8,11839,10874,45007,222247,95720,81520,166103,68.9,43973,35137,9008,7334,7442,10112,27.5,61
