"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"208",8316,"8316y2013",NA,566,171,230,1,38,701,1806,105,441,937,0,323,2854,257,3.6
"209",8317,"8317y2013",NA,1400,369,575,14,151,1937,5271,216,1161,2470,8,1416,8756,747,4.2
"210",8325,"8325y2013",NA,298,106,130,3,21,551,1621,63,388,756,0,414,2498,259,3.7
"211",8326,"8326y2013",NA,456,198,269,2,53,863,2589,160,525,1324,8,572,4380,467,4.4
"212",8327,"8327y2013",NA,454,135,176,3,31,615,1672,77,363,890,0,342,2344,205,3.5
"213",8335,"8335y2013",NA,1111,359,489,13,83,1450,2917,108,719,1308,0,782,6253,559,4.8
"214",8336,"8336y2013",NA,1069,275,378,3,76,1000,2624,82,633,1228,23,658,4596,430,4
"215",8337,"8337y2013",NA,525,136,191,3,37,736,1942,90,475,946,0,431,2825,288,3.4
"216",8415,"8415y2013",NA,1009,360,447,13,52,1294,3253,160,706,1471,34,882,6009,561,4.5
"217",8416,"8416y2013",NA,721,198,249,5,33,1000,2516,137,455,967,2,955,3874,282,3.8
"218",8417,"8417y2013",NA,527,213,253,2,26,770,2248,102,496,1214,0,436,4341,450,4.8
"219",8421,"8421y2013",NA,663,256,368,8,88,660,1634,77,255,619,0,683,3214,276,5.6
"220",8425,"8425y2013",NA,337,110,154,4,25,786,2065,95,498,1093,0,379,3322,376,3.5
"221",8426,"8426y2013",NA,679,136,175,3,26,915,2461,108,555,1279,0,519,2993,349,3.1
"222",8435,"8435y2013",NA,646,204,251,2,30,1148,2492,150,483,1210,8,641,3193,256,3.2
"223",8436,"8436y2013",NA,1201,385,477,7,68,1371,3879,207,731,2078,1,862,4171,402,3.2
