"","district","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse"
"432",14263,NA,NA,NA,NA
"433",14264,NA,NA,NA,NA
"434",14272,NA,NA,NA,NA
"435",14280,NA,NA,NA,NA
"436",14284,NA,NA,NA,NA
"437",14285,NA,NA,NA,NA
"438",14286,NA,NA,NA,NA
"439",14287,NA,NA,NA,NA
"440",14290,NA,NA,NA,NA
"441",14292,NA,NA,NA,NA
"442",14365,NA,NA,NA,NA
"443",14374,NA,NA,NA,NA
"444",14375,NA,NA,NA,NA
"445",14379,NA,NA,NA,NA
"446",14383,NA,NA,NA,NA
"447",14389,NA,NA,NA,NA
"448",14511,31038,240253,5003,204212
"449",14521,127158,361791,6645,227988
"450",14522,73997,322077,6872,241209
"451",14523,65124,240053,5671,169257
"452",14524,72694,335220,9266,253260
"453",14612,78427,512354,21993,411934
"454",14625,73544,315174,26966,214664
"455",14626,63419,269647,13918,192310
"456",14627,52136,247054,7326,187592
"457",14628,47612,246818,7342,191864
"458",14713,59435,502979,20062,423482
"459",14729,45808,262214,7182,209224
"460",14730,31788,201165,5898,163479
"461",15001,9408,86030,2743,73879
"462",15002,20760,229153,8755,199638
"463",15003,20166,228144,8596,199382
"464",15081,23998,88241,2240,62003
"465",15082,21279,172127,6988,143860
"466",15083,29594,176048,7022,139432
"467",15084,26393,189729,5496,157840
"468",15085,34787,226495,7996,183712
"469",15086,13715,93849,2505,77629
"470",15087,17180,147887,5304,125403
"471",15088,22177,191681,5512,163992
"472",15089,24295,205458,7039,174124
"473",15090,24016,119204,2985,92203
"474",15091,22752,132994,4683,105559
"475",15101,NA,NA,NA,NA
"476",15151,NA,NA,NA,NA
"477",15153,NA,NA,NA,NA
"478",15154,NA,NA,NA,NA
"479",15159,NA,NA,NA,NA
"480",15171,NA,NA,NA,NA
"481",15202,NA,NA,NA,NA
"482",15256,NA,NA,NA,NA
"483",15260,NA,NA,NA,NA
"484",15261,NA,NA,NA,NA
"485",15265,NA,NA,NA,NA
"486",15266,NA,NA,NA,NA
"487",15268,NA,NA,NA,NA
"488",15303,NA,NA,NA,NA
"489",15352,NA,NA,NA,NA
"490",15355,NA,NA,NA,NA
"491",15357,NA,NA,NA,NA
"492",15358,NA,NA,NA,NA
"493",15362,NA,NA,NA,NA
"494",15363,NA,NA,NA,NA
"495",15364,NA,NA,NA,NA
"496",15367,NA,NA,NA,NA
"497",15369,NA,NA,NA,NA
"498",15370,NA,NA,NA,NA
"499",16051,27418,200868,13008,160442
"500",16052,10744,96067,2560,82763
"501",16053,16265,105739,5646,83828
"502",16054,4447,36960,890,31623
"503",16055,2681,62764,1043,59040
"504",16056,9057,41753,1805,30891
"505",16061,11182,102257,71009,20066
"506",16062,19802,87210,3809,63599
"507",16063,47525,128719,11674,69520
"508",16064,28665,106122,16977,60480
"509",16065,18221,80053,2864,58968
"510",16066,51397,127622,4097,72128
"511",16067,34732,136330,4963,96635
"512",16068,17772,71865,2639,51454
"513",16069,26692,66369,1507,38170
"514",16070,24469,110361,4027,81865
"515",16071,19144,82643,2695,60804
"516",16072,18325,58943,1397,39221
"517",16073,29607,113267,3855,79805
"518",16074,19750,84802,2192,62860
"519",16075,29867,85806,2596,53343
"520",16076,27947,105332,3129,74256
"521",16077,14790,96737,2521,79426
"522",3241001,175758,506416,69193,261465
"523",5334002,36290,236420,117470,82660
"524",10041100,46526,175853,76820,52507
"2",2,507877,1706696,167583,1031236
"11",11,632865,3292365,293388,2366112
