"","year","district","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"909",2013,12072,6850,674,8.6
"910",2013,12073,10280,812,16.8
"912",2013,13001,NA,NA,NA
"913",2013,13002,NA,NA,NA
"914",2013,13003,12019,1200,12.6
"915",2013,13004,5665,535,12.8
"916",2013,13005,NA,NA,NA
"917",2013,13006,NA,NA,NA
"918",2013,13051,NA,NA,NA
"919",2013,13052,NA,NA,NA
"920",2013,13053,NA,NA,NA
"921",2013,13054,NA,NA,NA
"922",2013,13055,NA,NA,NA
"923",2013,13056,NA,NA,NA
"924",2013,13057,NA,NA,NA
"925",2013,13058,NA,NA,NA
"926",2013,13059,NA,NA,NA
"927",2013,13060,NA,NA,NA
"928",2013,13061,NA,NA,NA
"929",2013,13062,NA,NA,NA
"930",2013,13071,19564,1695,15.2
"931",2013,13072,10358,969,10.3
"932",2013,13073,15431,1378,14.5
"933",2013,13074,8332,773,10.9
"934",2013,13075,17492,1490,15.7
"935",2013,13076,10090,950,9.5
"938",2013,14161,NA,NA,NA
"939",2013,14166,NA,NA,NA
"940",2013,14167,NA,NA,NA
"941",2013,14171,NA,NA,NA
"942",2013,14173,NA,NA,NA
"943",2013,14177,NA,NA,NA
"944",2013,14178,NA,NA,NA
"945",2013,14181,NA,NA,NA
"946",2013,14182,NA,NA,NA
"947",2013,14188,NA,NA,NA
"948",2013,14191,NA,NA,NA
"949",2013,14193,NA,NA,NA
"951",2013,14262,NA,NA,NA
"952",2013,14263,NA,NA,NA
"953",2013,14264,NA,NA,NA
"954",2013,14272,NA,NA,NA
"955",2013,14280,NA,NA,NA
"956",2013,14284,NA,NA,NA
"957",2013,14285,NA,NA,NA
"958",2013,14286,NA,NA,NA
"959",2013,14287,NA,NA,NA
"960",2013,14290,NA,NA,NA
"961",2013,14292,NA,NA,NA
"963",2013,14365,NA,NA,NA
"964",2013,14374,NA,NA,NA
"965",2013,14375,NA,NA,NA
"966",2013,14379,NA,NA,NA
"967",2013,14383,NA,NA,NA
"968",2013,14389,NA,NA,NA
"970",2013,14511,12612,1057,11.5
"971",2013,14521,16600,1165,9.8
"972",2013,14522,14482,1153,9.5
"973",2013,14523,10161,772,9.4
"974",2013,14524,14206,1110,9.3
"976",2013,14612,24239,2217,9.9
"977",2013,14625,15575,1048,10.4
"978",2013,14626,16004,990,13.2
"979",2013,14627,12063,898,10.3
"980",2013,14628,11034,875,9.6
"982",2013,14713,29716,2871,12.3
"983",2013,14729,12188,1015,9.7
"984",2013,14730,11749,948,12
"986",2013,15001,5044,423,12.9
"987",2013,15002,13682,1162,13.2
"988",2013,15003,13769,1334,12.5
"989",2013,15081,4385,435,9.9
"990",2013,15082,10394,899,12.3
"991",2013,15083,8385,738,9.3
"992",2013,15084,11831,990,13.2
"993",2013,15085,10495,754,9.6
"994",2013,15086,4961,348,11
"995",2013,15087,10193,807,15.3
"996",2013,15088,10208,963,10.6
