"","district","FoundationsDensity100k","FoundationsTotal"
"305","Unna, Kreis",10.9,43
"306","Berchtesgadener Land, Landkreis",10.9,11
"307","Altenkirchen (Westerwald), Landkreis",10.8,14
"308","Peine, Landkreis",10.8,14
"309","Groß-Gerau, Landkreis",10.7,27
"310","Merzig-Wadern, Landkreis",10.6,11
"311","Trier-Saarburg, Landkreis",10.5,15
"312","Cham, Landkreis",10.4,13
"313","Kreisfreie Stadt Rostock, Hansestadt",9.9,20
"314","Aschaffenburg, Landkreis",9.9,17
"315","Tuttlingen, Landkreis",9.8,13
"316","Sömmerda, Kreis",9.8,7
"317","Saalfeld-Rudolstadt, Kreis",9.8,11
"318","Vulkaneifel, Landkreis",9.8,6
"319","Uckermark, Landkreis",9.7,12
"320","Neunkirchen, Landkreis",9.6,13
"321","Saale-Holzland-Kreis",9.4,8
"322","Karlsruhe, Landkreis",9.4,40
"323","Rottal-Inn, Landkreis",9.4,11
"324","Landkreis Ludwigslust-Parchim",9.4,20
"325","Gifhorn, Landkreis",9.4,16
"326","Passau, Landkreis",9.2,17
"327","Segeberg, Landkreis",9.2,24
"328","Hildburghausen, Kreis",9.1,6
"329","Ilm-Kreis",9.1,10
"330","Rhein-Erft-Kreis",9.1,41
"331","Landkreis Vorpommern-Rügen",8.9,20
"332","Barnim, Landkreis",8.7,15
"333","Saarlouis, Landkreis",8.6,17
"334","Oberhausen, Kreisfreie Stadt",8.6,18
"335","Sächsische Schweiz-Osterzgebirge, Landkreis",8.5,21
"336","Kassel, Landkreis",8.5,20
"337","Burgenlandkreis",8.5,16
"338","Weimarer Land, Kreis",8.5,7
"339","Frankfurt (Oder), Kreisfreie Stadt",8.5,5
"340","Heinsberg, Kreis",8.5,21
"341","Enzkreis",8.4,16
"342","Altenburger Land, Kreis",8.3,8
"343","Haßberge, Landkreis",8.3,7
"344","Gelsenkirchen, Kreisfreie Stadt",8.1,21
"345","Landshut, Landkreis",8.1,12
"346","Erzgebirgskreis",8.1,29
"347","Aichach-Friedberg, Landkreis",7.9,10
"348","Landkreis Mecklenburgische Seenplatte",7.9,21
"349","Schmalkalden-Meiningen, Kreis",7.9,10
"350","Dingolfing-Landau, Landkreis",7.7,7
"351","Bamberg, Landkreis",7.7,11
"352","Rhein-Neckar-Kreis",7.6,40
"353","Prignitz, Landkreis",7.5,6
"354","Jerichower Land, Landkreis",7.5,7
"355","Mansfeld-Südharz, Landkreis",7.5,11
"356","Mittelsachsen, Landkreis",7.5,24
"357","Hersfeld-Rotenburg, Landkreis",7.5,9
"358","Börde, Landkreis",7.4,13
"359","Elbe-Elster, Landkreis",7.3,8
"360","Straubing-Bogen, Landkreis",7.3,7
"361","Vogtlandkreis",7.1,17
"362","Regensburg, Landkreis",7.1,13
"363","Chemnitz, Stadt",7.1,17
