district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
7340;Südwestpfalz, Landkreis;Rheinland-Pfalz;6,1;6
16054;Suhl, Kreisfreie Stadt;Thüringen;2,7;1
12072;Teltow-Fläming, Landkreis;Brandenburg;5,0;8
9377;Tirschenreuth, Landkreis;Bayern;13,4;10
9189;Traunstein, Landkreis;Bayern;18,4;31
7235;Trier-Saarburg, Landkreis;Rheinland-Pfalz;10,5;15
7211;Trier, Kreisfreie Stadt;Rheinland-Pfalz;44,2;47
8416;Tübingen, Landkreis;Baden-Württemberg;35,2;75
8327;Tuttlingen, Landkreis;Baden-Württemberg;9,8;13
12073;Uckermark, Landkreis;Brandenburg;9,7;12
3360;Uelzen, Landkreis;Niedersachsen;27,9;26
8421;Ulm, Universitätsstadt, Kreisfreie Stadt;Baden-Württemberg;56,2;66
5978;Unna, Kreis;Nordrhein-Westfalen;10,9;43
16064;Unstrut-Hainich-Kreis;Thüringen;14,2;15
9778;Unterallgäu, Landkreis;Bayern;20,6;28
3460;Vechta, Landkreis;Niedersachsen;40,7;54
3361;Verden, Landkreis;Niedersachsen;19,7;26
5166;Viersen, Kreis;Nordrhein-Westfalen;12,2;36
6535;Vogelsbergkreis;Hessen;18,5;20
14523;Vogtlandkreis;Sachsen;7,1;17
7233;Vulkaneifel, Landkreis;Rheinland-Pfalz;9,8;6
6635;Waldeck-Frankenberg, Landkreis;Hessen;13,3;21
8337;Waldshut, Landkreis;Baden-Württemberg;17,8;29
5570;Warendorf, Kreis;Nordrhein-Westfalen;18,7;51
16063;Wartburgkreis;Thüringen;5,5;7
9363;Weiden i.d.OPf., Stadt;Bayern;35,9;15
9190;Weilheim-Schongau, Landkreis;Bayern;22,5;29
16055;Weimar, krsfr. Stadt;Thüringen;39,8;25
16071;Weimarer Land, Kreis;Thüringen;8,5;7
9577;Weißenburg-Gunzenhausen, Landkreis;Bayern;36,9;34
6636;Werra-Meißner-Kreis;Hessen;23,6;24
5170;Wesel, Kreis;Nordrhein-Westfalen;14,1;65
3461;Wesermarsch, Landkreis;Niedersachsen;23,5;21
7143;Westerwaldkreis;Rheinland-Pfalz;13,0;26
6440;Wetteraukreis;Hessen;22,9;67
6414;Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;Hessen;34,0;92
3405;Wilhelmshaven, Kreisfreie Stadt;Niedersachsen;20,8;16
15091;Wittenberg, Landkreis;Sachsen-Anhalt;12,9;17
3462;Wittmund, Landkreis;Niedersachsen;23,0;13
3158;Wolfenbüttel, Landkreis;Niedersachsen;29,1;35
3103;Wolfsburg, Kreisfreie Stadt;Niedersachsen;14,1;17
7319;Worms, Kreisfreie Stadt;Rheinland-Pfalz;23,9;19
9479;Wunsiedel i.Fichtelgebirge, Landkreis;Bayern;25,2;19
5124;Wuppertal, Kreisfreie Stadt;Nordrhein-Westfalen;25,4;87
9663;Würzburg, Landkreis;Bayern;7,0;11
9679;Würzburg, Stadt;Bayern;89,2;111
8417;Zollernalbkreis;Baden-Württemberg;16,7;31
7320;Zweibrücken, Kreisfreie Stadt;Rheinland-Pfalz;32,2;11
14524;Zwickau, Landkreis;Sachsen;6,6;22
