"","district","DistrictName","TotalPopulation"
"117",5978,"Unna",391622
"388",16064,"Unstrut-Hainich-Kreis",104245
"317",9778,"Unterallgäu",137484
"60",3460,"Vechta",134188
"45",3361,"Verden",132459
"78",5166,"Viersen",294921
"136",6535,"Vogelsbergkreis",106383
"355",14523,"Vogtlandkreis",233970
"350",13075,"Vorpommern-Greifswald",238185
"348",13073,"Vorpommern-Rügen",223109
"158",7233,"Vulkaneifel",60765
"142",6635,"Waldeck-Frankenberg",156607
"214",8337,"Waldshut",164265
"98",5570,"Warendorf",272623
"387",16063,"Wartburgkreis",126283
"261",9363,"Weiden i.d.OPf.",41726
"246",9190,"Weilheim-Schongau",130387
"383",16055,"Weimar",63315
"395",16071,"Weimarer Land",81704
"293",9577,"Weißenburg-Gunzenhausen",92331
"143",6636,"Werra-Meißner-Kreis",100356
"79",5170,"Wesel",457033
"61",3461,"Wesermarsch",88831
"154",7143,"Westerwaldkreis",198704
"131",6440,"Wetteraukreis",295408
"121",6414,"Wiesbaden",273871
"50",3405,"Wilhelmshaven",75728
"378",15091,"Wittenberg",129438
"62",3462,"Wittmund",56400
"27",3158,"Wolfenbüttel",119900
"19",3103,"Wolfsburg",122457
"168",7319,"Worms",80296
"281",9479,"Wunsiedel i.Fichtelgebirge",73783
"74",5124,"Wuppertal",343488
"296",9663,"Würzburg",124698
"305",9679,"Würzburg",158580
"217",8417,"Zollernalbkreis",184615
"169",7320,"Zweibrücken",34084
"356",14524,"Zwickau",327062
